PlotObservationID,Year,Longitude,Latitude,Eunis_lvl1,Eunis_lvl2,EVA_Country
390844,1987,12.637439,46.784838,R,R,Austria
390845,1987,12.783804,46.794568,R,R,Austria
390848,1983,12.817553,46.863292,R,R2,Austria
390854,1987,12.662855,46.917613,R,R,Austria
390889,1987,12.649293,46.918974,R,R,Austria
390890,1987,12.383754,47.015587,R,R,Austria
390918,1987,12.744144,46.83245,V,V3,Austria
390919,1987,12.744144,46.83245,R,R5,Austria
390929,1987,12.783347,46.803022,~,~,Austria
390936,1987,12.798711,46.791518,S,S3,Austria
390937,1985,12.864351,46.839123,S,S3,Austria
390966,1973,12.734442,46.831334,S,S3,Austria
390968,2004,12.795449,46.84756,S,Sa,Austria
390970,2004,12.800139,46.846516,S,S3,Austria
390971,1989,12.771995,46.811293,S,S3,Austria
390975,1987,12.764887,46.849026,~,~,Austria
390977,1987,12.727184,46.835437,S,Sa,Austria
390982,1969,12.337762,47.015849,S,S2,Austria
390985,1992,12.545851,46.991476,R,R,Austria
391015,1963,14.280092,46.673751,T,T1,Austria
391016,1963,14.280092,46.673751,T,T1,Austria
391017,1963,14.272567,46.677427,T,T,Austria
391018,1963,14.280092,46.673751,T,T1,Austria
391022,1983,12.808998,46.812466,T,T1,Austria
391023,1989,12.769161,46.821977,T,T1,Austria
391024,1983,12.603425,46.771466,T,T1,Austria
391026,1987,12.927365,46.761952,T,T1,Austria
391027,1987,12.658003,46.883734,T,T1,Austria
391042,1987,12.70494,46.855847,S,Sa,Austria
391043,1987,12.70494,46.855847,T,T1,Austria
391053,2004,12.791603,46.812714,T,T1,Austria
391093,1987,12.800601,46.79227,T,T3,Austria
391094,2002,13.007975,46.680381,T,T1,Austria
391115,1969,12.62279,47.008048,S,S2,Austria
391116,1969,12.62279,47.008048,S,S2,Austria
391157,1969,12.831975,46.70052,T,T3,Austria
391180,1979,12.558832,47.012713,T,T3,Austria
391181,1979,12.558832,47.012713,T,T3,Austria
391210,1987,13.078715,46.686778,T,T3,Austria
391217,1987,12.888205,46.924214,T,T3,Austria
391231,1992,12.65596,47.001194,T,T,Austria
391232,1992,12.65542,47.001043,T,T,Austria
391233,1992,12.635421,47.000311,T,T3,Austria
391234,1992,12.491445,47.002961,T,T3,Austria
391236,1992,12.500908,47.00182,~,~,Austria
391237,1992,12.494556,47.006005,T,T3,Austria
391238,1969,12.341587,47.014455,T,T3,Austria
391239,1969,12.571428,46.99682,T,T3,Austria
391241,1969,12.339313,47.025288,T,T3,Austria
391242,1992,12.485737,46.996229,T,T3,Austria
391266,1987,12.679414,46.921174,T,T3,Austria
391313,1987,12.647183,46.91486,S,S2,Austria
391325,1987,12.79947,46.798553,S,S2,Austria
391326,2005,12.657496,46.796606,S,Sa,Austria
391327,2005,12.660373,46.796667,S,S2,Austria
391328,2002,12.643772,46.825667,S,S2,Austria
391331,,12.333104,47.047564,S,Sa,Austria
391347,1987,12.889013,46.780181,~,~,Austria
391348,1987,12.661181,46.882217,S,S9,Austria
391349,1983,12.600932,46.769667,S,S9,Austria
391359,1998,12.581415,46.791354,S,S9,Austria
391386,1998,12.551797,46.826637,P,P2,Austria
391459,1969,12.779763,46.870745,R,R,Austria
391460,1969,12.790234,46.874559,R,R4,Austria
391490,1985,12.680641,46.734483,R,R,Austria
391573,1986,12.124516,47.127459,R,R4,Austria
391576,1986,12.127005,47.12559,R,R4,Austria
391583,1985,12.388944,46.7182,R,R4,Austria
391589,1969,12.699362,46.824045,S,S2,Austria
